prefab_id,x_pos,y_pos,x_scale,y_scale,rotation
0,-0.960899,1.454495,1.000000,1.000000,0.000000
1,-2.092193,1.568021,1.000000,1.000000,0.570000
2,0.031250,1.406250,1.000000,1.000000,0.000000
0,1.437500,0.375000,1.000000,1.000000,0.570000
3,-0.236660,-0.145075,1.000000,1.000000,3.839724
5,-1.890249,1.888670,1.000000,1.000000,0.000000
4,-1.557613,2.079542,1.000000,1.000000,0.000000
4,-1.385553,2.087862,1.000000,1.000000,3.455752
3,0.414426,0.283512,1.000000,1.000000,3.682645
2,-1.376529,0.237504,1.000000,1.000000,0.000000
4,-1.539615,1.924115,1.000000,1.000000,0.000000
6,3.562500,1.500000,1.000000,1.000000,3.141593
7,1.656250,1.468750,1.000000,1.000000,3.141593
2,4.701773,1.933793,1.000000,1.000000,0.000000
7,5.468750,1.906250,1.000000,1.000000,4.712389
8,0.562500,1.093750,1.000000,1.000000,0.000000
8,0.562500,1.218750,1.000000,1.000000,3.141593
8,0.562500,1.343750,1.000000,1.000000,0.000000
8,0.562500,1.593750,1.000000,1.000000,0.000000
8,0.562500,1.468750,1.000000,1.000000,0.000000
4,1.366478,1.791207,1.000000,1.000000,3.351032
8,0.625000,-0.750000,1.000000,1.000000,0.000000
8,0.625000,-0.875000,1.000000,1.000000,0.000000
8,0.625000,-1.000000,1.000000,1.000000,0.000000
8,0.625000,-1.125000,1.000000,1.000000,0.000000
8,0.625000,-1.250000,1.000000,1.000000,0.000000
8,0.875000,-0.625000,1.000000,1.000000,0.000000
5,1.406250,-1.437500,1.000000,1.000000,0.000000
8,0.750000,-0.625000,1.000000,1.000000,0.000000
8,1.250000,-0.625000,1.000000,1.000000,0.000000
8,1.125000,-0.625000,1.000000,1.000000,0.000000
8,1.000000,-0.625000,1.000000,1.000000,0.000000
8,1.375000,-0.625000,1.000000,1.000000,0.000000
8,1.500000,-0.625000,1.000000,1.000000,0.000000
8,0.625000,-1.375000,1.000000,1.000000,0.000000
8,2.500000,-0.625000,1.000000,1.000000,0.000000
8,2.625000,-0.625000,1.000000,1.000000,0.000000
8,2.750000,-0.625000,1.000000,1.000000,0.000000
8,3.125000,-0.625000,1.000000,1.000000,0.000000
8,3.375000,-0.875000,1.000000,1.000000,0.000000
8,2.375000,-0.625000,1.000000,1.000000,0.000000
8,0.625000,-0.625000,1.000000,1.000000,0.000000
8,3.375000,-0.750000,1.000000,1.000000,0.000000
